X_value,Y_value,Time
4772,1136,781.45
4769,1135,781.47
4772,1124,781.48
"
","
","
"
4797,1036,781.65
4806,1052,781.66
4814,1070,781.68
4822,1089,781.69
4826,1105,781.71
4836,1113,781.73
4833,1112,781.74
4833,1111,781.75
4830,1105,781.77
4824,1097,781.79
4818,1084,781.80
4811,1069,781.81
4811,1051,781.83
4811,1032,781.85
4819,1014,781.86
4828,996,781.87
4842,981,781.89
4857,972,781.91
4866,967,781.92
"
","
","
"
4947,1083,782.17
4947,1083,782.19
4946,1083,782.20
4941,1090,782.22
4939,1097,782.23
4944,1097,782.25
4939,1096,782.26
4944,1094,782.28
4950,1087,782.29
4951,1081,782.31
4948,1079,782.32
"
","
","
"
5449,793,783.81
5442,790,783.83
5429,787,783.84
5409,789,783.86
5384,796,783.87
5357,814,783.89
5324,843,783.90
5298,879,783.92
5275,917,783.93
5264,957,783.95
5257,994,783.96
5261,1030,783.98
5275,1064,783.99
5293,1095,784.01
5320,1120,784.02
5346,1132,784.04
5371,1131,784.05
5390,1119,784.07
5403,1095,784.09
5415,1060,784.10
5431,1022,784.11
5431,994,784.13
5434,980,784.15
5434,980,784.16
5430,980,784.17
5432,991,784.23
5426,1020,784.23
5427,1056,784.23
5424,1094,784.23
5429,1126,784.25
5429,1145,784.27
5432,1148,784.28
5437,1144,784.30
5435,1135,784.31
"
","
","
"
5416,993,784.41
5408,991,784.43
5396,989,784.45
5379,991,784.46
5368,990,784.48
5351,986,784.49
"
","
","
"
5561,996,784.71
5546,996,784.73
5523,1007,784.74
5499,1024,784.76
5482,1047,784.77
5477,1075,784.79
5475,1104,784.81
5485,1133,784.82
5498,1151,784.83
5513,1156,784.85
5527,1146,784.87
5549,1119,784.88
5565,1083,784.89
5576,1046,784.91
5581,1020,784.93
5581,1005,784.94
5586,1001,784.95
5581,1001,784.97
5587,1015,784.99
5585,1046,785.00
5582,1078,785.01
5586,1105,785.03
5581,1122,785.05
5588,1127,785.06
5585,1126,785.07
"
","
","
"
5660,1036,785.23
5665,1054,785.25
5664,1076,785.27
5664,1097,785.29
5661,1114,785.30
5660,1119,785.31
"
","
","
"
5624,919,785.45
5629,917,785.46
5624,916,785.48
5624,921,785.49
"
","
","
"
5723,802,785.65
5725,815,785.67
5725,839,785.69
5724,873,785.71
5725,915,785.72
5721,965,785.73
5721,1013,785.75
5723,1046,785.77
5731,1066,785.78
5737,1082,785.80
5747,1092,785.81
5766,1097,785.83
5779,1096,785.84
"
","
","
"
5796,979,785.93
5786,967,785.94
5767,958,785.96
5747,954,785.97
5735,957,785.99
5714,963,786.01
"
","
","
"
5986,982,788.10
5974,982,788.11
5955,980,788.13
5933,983,788.15
5911,994,788.16
5887,1013,788.18
5872,1032,788.19
5870,1042,788.21
5873,1047,788.22
5885,1048,788.24
5910,1046,788.25
5934,1046,788.27
5952,1057,788.28
5962,1073,788.30
5968,1087,788.31
5962,1099,788.33
5946,1116,788.34
5930,1134,788.36
5911,1143,788.37
5904,1138,788.39
"
","
","
"
6081,808,788.61
6085,834,788.62
6088,869,788.64
6094,916,788.65
6098,970,788.67
6101,1026,788.69
6099,1077,788.70
6100,1119,788.71
6103,1148,788.73
6104,1160,788.74
6104,1163,788.76
"
","
","
"
6190,975,788.89
6190,974,788.91
6177,977,788.93
6159,992,788.94
6139,1013,788.96
6121,1029,788.97
6115,1037,788.99
6115,1037,789.00
6111,1037,789.02
6119,1039,789.03
6138,1046,789.05
6160,1057,789.06
6182,1073,789.08
6202,1095,789.09
6220,1114,789.11
6225,1124,789.12
6233,1124,789.14
6238,1118,789.15
"
","
","
"
6331,1029,789.31
6351,1003,789.33
6358,990,789.35
6359,983,789.36
6344,977,789.38
6326,982,789.39
6308,997,789.41
6293,1015,789.42
6286,1035,789.44
6287,1052,789.45
6300,1073,789.47
6312,1092,789.48
6331,1100,789.50
6357,1093,789.51
"
","
","
"
6441,830,789.65
6445,832,789.66
6445,837,789.68
6437,864,789.69
6425,918,789.71
6424,980,789.72
6414,1044,789.74
6411,1090,789.75
6414,1116,789.77
6413,1121,789.78
6418,1117,789.80
"
","
","
"
6505,796,789.93
6505,798,789.95
6512,810,789.96
6508,842,789.98
6506,891,789.99
6498,952,790.01
6490,1025,790.03
6483,1088,790.04
6481,1129,790.05
6490,1146,790.07
6485,1148,790.08
6488,1152,790.10
"
","
","
"
